Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  9.46      0.04     0.04    86761     0.00     0.00  std::__detail::_Hash_code_base<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::string const&, unsigned long, unsigned long) const
  8.11      0.07     0.03   122116     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::operator*() const
  5.41      0.09     0.02   190696     0.00     0.00  bool __gnu_cxx::operator!=<std::string const*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > > const&)
  5.41      0.11     0.02   131071     0.00     0.00  void std::_Construct<std::string, std::string>(std::string*, std::string&&)
  5.41      0.13     0.02    68578     0.00     0.00  WordList::addWord(std::string)
  5.41      0.15     0.02    53509     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int> >, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::find(std::string const&)
  2.70      0.16     0.01   331664     0.00     0.00  operator new(unsigned long, void*)
  2.70      0.17     0.01   175626     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::operator++(int)
  2.70      0.18     0.01   147267     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  2.70      0.19     0.01   137157     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::end() const
  2.70      0.20     0.01   131071     0.00     0.00  std::move_iterator<std::string*>::operator++()
  2.70      0.21     0.01   131071     0.00     0.00  std::string&& std::forward<std::string>(std::identity<std::string>::type&&)
  2.70      0.22     0.01    98775     0.00     0.00  void std::_Destroy<NgramList::Ngram>(NgramList::Ngram*)
  2.70      0.23     0.01    76492     0.00     0.00  std::_Select1st<std::pair<std::string const, int> >::operator()(std::pair<std::string const, int>&) const
