Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 10.00      0.03     0.03        1    30.01   219.52  NgramList::NgramList(int, WordList const&)
  6.67      0.05     0.02    76492     0.00     0.00  std::_Select1st<std::pair<std::string const, int> >::operator()(std::pair<std::string const, int>&) const
  6.67      0.07     0.02    68578     0.00     0.00  WordList::addWord(std::string)
  6.67      0.09     0.02    68578     0.00     0.00  NgramList::getNextNgram(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >)
  6.67      0.11     0.02    33240     0.00     0.00  std::pair<std::__decay_and_strip<std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false> >::__type, std::__decay_and_strip<bool>::__type> std::make_pair<std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false>, bool>(std::__detail::_Hashtable_iterator<std::pair<std::string const, int>, false, false>&&, bool&&)
  3.33      0.12     0.01   199649     0.00     0.00  void std::_Destroy<std::string>(std::string*)
  3.33      0.13     0.01   190696     0.00     0.00  bool __gnu_cxx::operator!=<std::string const*, std::vector<std::string, std::allocator<std::string> > >(__gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > > const&, __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > > const&)
  3.33      0.14     0.01   175626     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::operator++(int)
  3.33      0.15     0.01   173501     0.00     0.00  std::__detail::_Hashtable_iterator_base<std::pair<std::string const, int>, false>::_Hashtable_iterator_base(std::__detail::_Hash_node<std::pair<std::string const, int>, false>*, std::__detail::_Hash_node<std::pair<std::string const, int>, false>**)
  3.33      0.16     0.01   147267     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  3.33      0.17     0.01   137157     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::end() const
  3.33      0.18     0.01   131107     0.00     0.00  bool std::operator==<std::string*, std::string*>(std::move_iterator<std::string*> const&, std::move_iterator<std::string*> const&)
  3.33      0.19     0.01   131107     0.00     0.00  bool std::operator!=<std::string*, std::string*>(std::move_iterator<std::string*> const&, std::move_iterator<std::string*> const&)
  3.33      0.20     0.01   131071     0.00     0.00  std::move_iterator<std::string*>::operator++()
  3.33      0.21     0.01   131071     0.00     0.00  void std::_Construct<std::string, std::string>(std::string*, std::string&&)
  3.33      0.22     0.01   131071     0.00     0.00  std::string&& std::forward<std::string>(std::identity<std::string>::type&&)
  3.33      0.23     0.01   122116     0.00     0.00  __gnu_cxx::__normal_iterator<std::string const*, std::vector<std::string, std::allocator<std::string> > >::operator*() const
  3.33      0.24     0.01   119990     0.00     0.00  std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int> >, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::end()
  3.33      0.25     0.01    98775     0.00     0.00  NgramList::Ngram::~Ngram()
  3.33      0.26     0.01    86749     0.00     0.00  std::__detail::_Hash_code_base<std::string, std::pair<std::string const, int>, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(std::string const&) const
  3.33      0.27     0.01    53509     0.00     0.00  NgramList::insertNgram(std::string)
  3.33      0.28     0.01    33240     0.00     0.00  std::pair<std::string const, int>::pair<std::string&, int>(std::string&&&, int&&)
  3.33      0.29     0.01       34     0.29     0.29  NgramList::Ngram* std::__uninitialized_copy<false>::uninitialized_copy<std::move_iterator<NgramList::Ngram*>, NgramList::Ngram*>(std::move_iterator<NgramList::Ngram*>, std::move_iterator<NgramList::Ngram*>, NgramList::Ngram*)
  3.33      0.30     0.01       12     0.83     1.18  std::_Hashtable<std::string, std::pair<std::string const, int>, std::allocator<std::pair<std::string const, int> >, std::_Select1st<std::pair<std::string const, int> >, std::equal_to<std::string>, std::hash<std::string>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, false, false, true>::_M_rehash(unsigned long)
